Timestamp	StimuliName	FixationIndex	FixationDuration	MappedFixationPointX	MappedFixationPointY	user	description
2586	01_Antwerpen_S1.jpg	9	250	1151	458	p1	color
2836	01_Antwerpen_S1.jpg	10	150	1371	316	p1	color
2986	01_Antwerpen_S1.jpg	11	283	1342	287	p1	color
3269	01_Antwerpen_S1.jpg	12	433	762	303	p1	color
3702	01_Antwerpen_S1.jpg	13	183	624	297	p1	color
3885	01_Antwerpen_S1.jpg	14	333	712	303	p1	color
4218	01_Antwerpen_S1.jpg	15	300	753	293	p1	color
4518	01_Antwerpen_S1.jpg	16	516	804	284	p1	color
5035	01_Antwerpen_S1.jpg	17	183	724	305	p1	color
5218	01_Antwerpen_S1.jpg	18	250	652	703	p1	color
5468	01_Antwerpen_S1.jpg	19	183	495	855	p1	color
5651	01_Antwerpen_S1.jpg	20	550	425	976	p1	color
6200	01_Antwerpen_S1.jpg	21	150	620	739	p1	color
6517	01_Antwerpen_S1.jpg	22	333	601	674	p1	color
9066	02_Berlin_S1.jpg	27	149	1067	681	p1	color
9215	02_Berlin_S1.jpg	28	266	1116	757	p1	color
9481	02_Berlin_S1.jpg	29	217	1020	723	p1	color
9698	02_Berlin_S1.jpg	30	183	711	781	p1	color
9881	02_Berlin_S1.jpg	31	183	439	776	p1	color
10064	02_Berlin_S1.jpg	32	167	328	552	p1	color
10231	02_Berlin_S1.jpg	33	400	310	359	p1	color
10631	02_Berlin_S1.jpg	34	666	246	336	p1	color
11297	02_Berlin_S1.jpg	35	333	172	279	p1	color
559960	01_Antwerpen_S1.jpg	1614	283	670	450	p12	color
560243	01_Antwerpen_S1.jpg	1615	300	1355	249	p12	color
560543	01_Antwerpen_S1.jpg	1616	283	511	791	p12	color
560826	01_Antwerpen_S1.jpg	1617	167	495	840	p12	color
560993	01_Antwerpen_S1.jpg	1618	133	467	944	p12	color
561126	01_Antwerpen_S1.jpg	1619	233	707	418	p12	color
561359	01_Antwerpen_S1.jpg	1620	183	765	224	p12	color
561542	01_Antwerpen_S1.jpg	1621	233	1244	204	p12	color
561776	01_Antwerpen_S1.jpg	1622	416	1364	279	p12	color
562192	01_Antwerpen_S1.jpg	1623	533	421	993	p12	color
562725	01_Antwerpen_S1.jpg	1624	216	356	975	p12	color
562941	01_Antwerpen_S1.jpg	1625	233	1409	186	p12	color
563175	01_Antwerpen_S1.jpg	1626	233	1368	290	p12	color
563408	01_Antwerpen_S1.jpg	1627	250	858	270	p12	color
563658	01_Antwerpen_S1.jpg	1628	283	707	280	p12	color
563941	01_Antwerpen_S1.jpg	1629	200	824	244	p12	color
564141	01_Antwerpen_S1.jpg	1630	283	1053	243	p12	color
564424	01_Antwerpen_S1.jpg	1631	233	1265	248	p12	color
564657	01_Antwerpen_S1.jpg	1632	300	597	739	p12	color
564957	01_Antwerpen_S1.jpg	1633	583	447	984	p12	color
4968	02_Berlin_S1.jpg	18	150	1013	664	p16	color
5118	02_Berlin_S1.jpg	19	749	1146	764	p16	color
5867	02_Berlin_S1.jpg	20	266	991	462	p16	color
6134	02_Berlin_S1.jpg	21	200	1031	451	p16	color
6333	02_Berlin_S1.jpg	22	233	1020	184	p16	color
6567	02_Berlin_S1.jpg	23	233	896	604	p16	color
6800	02_Berlin_S1.jpg	24	1416	1152	771	p16	color
8215	02_Berlin_S1.jpg	25	250	1076	725	p16	color
8465	02_Berlin_S1.jpg	26	167	1011	697	p16	color
8632	02_Berlin_S1.jpg	27	300	879	521	p16	color
8932	02_Berlin_S1.jpg	28	167	748	467	p16	color
9098	02_Berlin_S1.jpg	29	150	693	466	p16	color
9248	02_Berlin_S1.jpg	30	200	306	221	p16	color
9448	02_Berlin_S1.jpg	31	183	141	130	p16	color
9631	02_Berlin_S1.jpg	32	200	209	244	p16	color
9831	02_Berlin_S1.jpg	33	366	666	568	p16	color
10197	02_Berlin_S1.jpg	34	183	917	640	p16	color
10381	02_Berlin_S1.jpg	35	250	1078	735	p16	color
10631	02_Berlin_S1.jpg	36	233	1053	709	p16	color
10864	02_Berlin_S1.jpg	37	233	1002	691	p16	color
11097	02_Berlin_S1.jpg	38	150	1087	738	p16	color
11247	02_Berlin_S1.jpg	39	749	1018	697	p16	color
11996	02_Berlin_S1.jpg	40	183	1114	740	p16	color
12179	02_Berlin_S1.jpg	41	250	947	612	p16	color
12429	02_Berlin_S1.jpg	42	167	894	529	p16	color
12596	02_Berlin_S1.jpg	43	200	858	518	p16	color
12796	02_Berlin_S1.jpg	44	216	757	470	p16	color
13012	02_Berlin_S1.jpg	45	183	701	470	p16	color
13329	02_Berlin_S1.jpg	46	583	717	458	p16	color
13912	02_Berlin_S1.jpg	47	233	860	646	p16	color
14145	02_Berlin_S1.jpg	48	200	940	664	p16	color
14345	02_Berlin_S1.jpg	49	200	853	531	p16	color
14544	02_Berlin_S1.jpg	50	600	724	457	p16	color
15144	02_Berlin_S1.jpg	51	433	1017	634	p16	color
15577	02_Berlin_S1.jpg	52	316	1062	663	p16	color
15894	02_Berlin_S1.jpg	53	400	1130	746	p16	color
16293	02_Berlin_S1.jpg	54	650	1087	708	p16	color
16943	02_Berlin_S1.jpg	55	333	1025	685	p16	color
17276	02_Berlin_S1.jpg	56	583	1095	735	p16	color
17859	02_Berlin_S1.jpg	57	266	1071	663	p16	color
18125	02_Berlin_S1.jpg	58	217	1048	590	p16	color
18342	02_Berlin_S1.jpg	59	216	1068	655	p16	color
18558	02_Berlin_S1.jpg	60	266	1090	706	p16	color
18825	02_Berlin_S1.jpg	61	150	1014	685	p16	color
19158	02_Berlin_S1.jpg	62	516	947	649	p16	color
19674	02_Berlin_S1.jpg	63	216	918	564	p16	color
19891	02_Berlin_S1.jpg	64	250	905	515	p16	color
20141	02_Berlin_S1.jpg	65	400	1013	692	p16	color
20541	02_Berlin_S1.jpg	66	216	944	665	p16	color
20757	02_Berlin_S1.jpg	67	250	820	665	p16	color
21007	02_Berlin_S1.jpg	68	166	752	654	p16	color
21173	02_Berlin_S1.jpg	69	167	669	604	p16	color
21340	02_Berlin_S1.jpg	70	216	581	480	p16	color
21556	02_Berlin_S1.jpg	71	216	821	659	p16	color
21773	02_Berlin_S1.jpg	72	133	875	684	p16	color
21906	02_Berlin_S1.jpg	73	167	784	654	p16	color
22073	02_Berlin_S1.jpg	74	250	898	673	p16	color
22323	02_Berlin_S1.jpg	75	233	995	649	p16	color
22556	02_Berlin_S1.jpg	76	250	1037	668	p16	color
22806	02_Berlin_S1.jpg	77	250	993	514	p16	color
23055	02_Berlin_S1.jpg	78	167	852	460	p16	color
23222	02_Berlin_S1.jpg	79	266	789	464	p16	color
23489	02_Berlin_S1.jpg	80	200	677	450	p16	color
23688	02_Berlin_S1.jpg	81	283	562	467	p16	color
23971	02_Berlin_S1.jpg	82	183	691	514	p16	color
24155	02_Berlin_S1.jpg	83	200	588	507	p16	color
24355	02_Berlin_S1.jpg	84	683	1066	703	p16	color
25037	02_Berlin_S1.jpg	85	183	998	678	p16	color
25221	02_Berlin_S1.jpg	86	283	880	673	p16	color
25504	02_Berlin_S1.jpg	87	200	703	607	p16	color
25704	02_Berlin_S1.jpg	88	183	608	537	p16	color
25887	02_Berlin_S1.jpg	89	233	405	426	p16	color
26120	02_Berlin_S1.jpg	90	200	216	275	p16	color
26320	02_Berlin_S1.jpg	91	250	802	605	p16	color
26570	02_Berlin_S1.jpg	92	233	890	676	p16	color
26803	02_Berlin_S1.jpg	93	416	1009	698	p16	color
27219	02_Berlin_S1.jpg	94	216	1070	728	p16	color
27436	02_Berlin_S1.jpg	95	350	1015	683	p16	color
27786	02_Berlin_S1.jpg	96	283	1090	732	p16	color
28069	02_Berlin_S1.jpg	97	150	1045	712	p16	color
28385	02_Berlin_S1.jpg	98	216	983	705	p16	color
28602	02_Berlin_S1.jpg	99	1166	877	702	p16	color
